"Original Lines" OPINIONLEXICON SENTISTRENGTH SOCAL HAPPINESSINDEX SANN EMOTICONSDS SENTIMENT140 STANFORD AFINN MPQA NRCHASHTAG EMOLEX EMOTICONS PANAST SASA SENTIWORDNET VADER UMIGON
"112 mil pessoas brasil sabem têm hiv epidemia é grave jovens https t co qyzzt1f7yx https t co csqqlmmj1z " Negative Negative Negative Positive Negative Positive Negative Negative Neutral Negative Negative Neutral Neutral Neutral Positive Positive Neutral Neutral
"direitos trabalhador vive hiv brasil https t co wcxyoifh85 #aids #hiv " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"bem estar ta falando sobre hiv entrevistando valeria polizzi aaaaaaaa li livro ano passado " Positive Positive Positive Positive Positive Positive Negative Negative Neutral Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral
"pode pessoa contrair hiv 16 anos ato sexual foda " Negative Negative Negative Positive Negative Positive Positive Neutral Negative Neutral Negative Positive Neutral Neutral Neutral Positive Negative Negative
"umassmedical https t co dcwwgykbrk " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"fórum abre campanha contra discriminação pessoas hiv aids https t co vkqzpbmpq3 " Negative Negative Negative Positive Neutral Positive Negative Negative Neutral Neutral Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"rt @portalbrasil novo remédio #hiv testado #manaus am https t co bhyfo4gzwu https t co wcjpv1qxlq " Neutral Neutral Positive Positive Neutral Positive Neutral Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"rt @portalbrasil novo remédio #hiv testado #manaus am https t co bhyfo4gzwu https t co wcjpv1qxlq " Neutral Neutral Positive Positive Neutral Positive Neutral Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"rt @portalbrasil novo remédio #hiv testado #manaus am https t co bhyfo4gzwu https t co wcjpv1qxlq " Neutral Neutral Positive Positive Neutral Positive Neutral Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"rt @blogoosfero cuba é primeiro país mundo erradicar transmissão materna hiv sífilis https t co rjhhuszmfb " Neutral Negative Negative Positive Neutral Positive Positive Negative Neutral Neutral Negative Neutral Neutral Neutral Negative Positive Neutral Neutral
"novo remédio #hiv testado #manaus am https t co bhyfo4gzwu https t co wcjpv1qxlq " Neutral Neutral Positive Positive Neutral Positive Negative Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
